frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_6,ID_7,ID_8,ID_9,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_52,ID_53,ID_54,ID_57,ID_59,ID_60,ID_61,ID_62,ID_68,ID_69,ID_70,ID_72,ID_74,ID_75,ID_77,ID_79,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_87,ID_88,ID_90,ID_91,ID_92,ID_93,ID_94,ID_98,ID_99,ID_100,ID_101,ID_102,ID_103,ID_105,ID_106,ID_107,ID_108,ID_109,ID_110,ID_111,ID_112,ID_114,ID_116,ID_117,ID_123,ID_124,ID_125,ID_127,ID_128,ID_129,ID_130,ID_131,ID_132,ID_133,ID_134,ID_135,ID_136,ID_137,ID_138,ID_139,ID_140,ID_142
80,,,,,,,,"(1156,636)",,,,,,,,,,,,,,,,,,,"(1231,544)",,,,,,,,,,,,,,,,"(1219,543)",,"(1076,1287)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,"(1155,635)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1219,543)",,"(1074,1286)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,"(1339,544)","(1155,632)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1226,539)",,"(1073,1285)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,"(1339,546)","(1155,632)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1221,542)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,"(1344,547)","(1155,635)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1228,538)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,"(1337,541)","(1157,628)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1227,541)",,"(1071,1278)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,"(1337,543)",,,,,,,,,,,,,,,,,,,,,,,"(2214,332)",,,,,,,,,,,,,"(1228,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,"(1336,542)",,,,,,,,,,,,,,,,,,,,"(1251,548)",,,,,,,,,,,,,,,,"(1229,542)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,"(1338,540)",,,,,,,,,,,,,,,,,,,,"(1251,546)",,,,,,,,,,,,,,,,"(1230,541)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,"(1341,543)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1227,541)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,"(1339,544)",,,,,,,,,,,,,,,,,,,,"(1248,547)",,,,,,,,,,,,,,,,"(1229,539)",,"(1064,1258)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,"(1338,542)",,,,,,,,,,,,,,,,,,,,"(1249,546)",,,,,,,,,,,,,,,,"(1229,538)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,"(1248,546)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2470,512)",,,,,,,"(1231,539)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,"(1249,545)",,,,,,,,,,,,,,,,,,,,,,,"(2237,337)",,,,,"(2247,341)","(2468,515)",,,,,,,"(1230,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,"(1246,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1229,542)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,"(1247,551)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1229,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,"(1245,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1230,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,"(1244,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1230,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,"(1242,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1230,539)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,"(1243,548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1230,539)",,,"(2492,520)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,"(1235,542)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1225,536)",,,"(2489,521)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1231,540)",,,"(2482,520)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2292,352)",,,,,,,,,,,"(2483,521)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2281,350)",,,,,"(2298,355)",,,,,,,,,,,"(2540,539)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2541,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,"(2302,358)",,,,,,,,,,,,,,,,,,,,,,,,"(2281,351)",,,,,"(2294,352)",,,,,,,,,,,"(2542,539)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2541,537)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,"(1900,223)","(2307,356)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2316,361)",,,,,,,,,,,"(2541,540)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,"(2311,358)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2483,530)","(2474,526)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,"(2313,359)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2476,528)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,"(2313,359)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2475,530)","(2537,535)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,"(2312,361)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1230,526)",,,"(2475,534)","(2561,597)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,"(2315,362)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2593,652)","(2584,635)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,"(2316,364)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2398,535)",,,,,,,"(1232,524)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2399,532)",,,,,,,,,,,"(2522,551)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,"(1888,241)","(2325,369)",,,,,,,,,,,,,,,,,"(2404,501)",,,,,,,,,,,,,"(2400,533)",,,,,"(2689,924)",,,,,,"(2522,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,"(2323,367)",,,,,,,,,,,,,,,,,"(2405,506)",,,,,,,,,,,,,"(2402,520)",,,,,,,,,,,"(2523,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,"(2323,368)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2405,504)",,,,,,,,,,,"(2525,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,"(2323,367)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2526,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,"(1872,240)","(2323,366)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2405,493)",,,,,,,,,,,"(2525,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,"(1871,240)","(2324,366)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2526,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,"(2324,367)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2407,484)",,,,,,,,,,,"(2525,548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,"(2325,367)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2408,480)",,,,,,,,,,,"(2525,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,"(1846,239)","(2325,367)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,"(2326,367)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,"(2328,370)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,"(2330,372)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,"(2333,372)",,,,,"(1629,1053)",,,,,,,,,,,,,,"(1659,1062)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,"(2330,372)",,,,,"(1624,1052)",,,,,,,,,,,,,,"(1659,1063)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,"(2331,371)",,,,,"(1662,1061)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,"(2328,370)",,,,,"(1657,1062)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,"(2327,369)",,,,,"(1658,1062)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,"(2328,370)",,,,,"(1657,1062)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,"(2327,368)",,,,,"(1655,1063)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,"(1820,247)","(2327,367)",,,,,,,,,,,,,,,,,"(2416,462)",,,,,,,,,,,,,"(2428,453)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2507,557)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2458,448)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,"(2437,463)",,,,,,,,,,,,,"(2460,449)",,,,,,,,,,,"(2521,550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,"(2517,535)",,,,,,,,,,,,,"(2440,466)",,,,,,,,,,,"(2525,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,"(1787,246)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1074,1141)","(2503,549)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,"(1781,245)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1075,1143)","(2504,546)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,"(1779,245)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1076,1141)","(2503,545)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,"(1776,246)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1075,1141)","(2504,544)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,"(1774,246)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1078,1139)","(2506,548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,"(1773,245)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1079,1137)","(2504,545)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,"(1774,245)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2504,546)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,"(1774,245)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2506,544)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,"(1772,246)",,,,,,"(1511,1093)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2509,543)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,"(1772,246)",,,,,,"(1512,1093)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2505,546)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,"(1769,247)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2460,476)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,"(1765,247)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2462,477)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,"(1762,249)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2464,479)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,"(1760,246)",,,,,,,,,,,,,,,,,,,,"(1650,1062)",,,,,,,,,,,,,,,,,,,,,"(2461,479)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2465,478)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,"(1752,248)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,"(1751,251)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1255,497)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,"(1752,247)",,,,,,,,,,,,,,,,,,,,"(1653,1060)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1261,490)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1263,488)",,,"(2528,557)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1268,484)",,,"(2479,493)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,"(1652,1064)",,,,,,,,,,,,,,,,,,,,,"(2472,487)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,"(1738,252)",,,,,,,,,,,,,,,,,,,,"(1654,1062)",,,,,,,,,,,,,,,,,,,,,"(2470,484)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,"(1736,253)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2470,482)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,"(1736,253)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2470,482)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,"(1736,254)",,,,,,,,,,,,,,,,,,,,"(1652,1062)",,,,,,,,,,,,,,,,,,,,,"(2469,479)",,"(2538,569)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2466,477)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,"(1651,1061)",,,,,,,,,,,,,,,,,,,,,"(2464,475)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,"(1651,1061)",,,,,,,,,,,,,,,,,,,,,"(2460,471)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,"(1650,1061)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,"(1652,1064)",,,,,,,,,,,,,,,,,,,,,,,,"(2531,562)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,"(1650,1062)",,,,,,,,,,,,,,,,,,,,,,,,"(2490,530)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,"(1654,1062)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,"(1651,1061)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,"(1652,1061)",,,,,,,,"(2447,754)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,"(1653,1061)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,"(1652,1063)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,"(1714,258)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,"(1715,259)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,"(1713,258)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
